feature,weight
nlp:tfidf__you may gain,0.002
nlp:tfidf__cost . you,0.002
nlp:tfidf__cardnam attack block,0.002
nlp:tfidf__1 . (,0.002
nlp:tfidf__land card reveal,0.002
nlp:tfidf__2/2 green wolf,0.002
nlp:tfidf__hand . you,0.002
other:subtypes_Curse,0.002
nlp:tfidf__hand shuffl your,0.002
nlp:tfidf__spell you cast,0.002
nlp:tfidf__. & begin,0.002
nlp:tfidf__nonblack creatur .,0.002
nlp:tfidf__you gain 1,0.002
nlp:tfidf__librari basic land,0.002
nlp:tfidf__may cast spell,0.002
nlp:tfidf__creatur get +1/+1,0.002
nlp:tfidf__: add one,0.002
nlp:tfidf__{5} {t} :,0.002
nlp:tfidf__: put +1/+1,0.002
nlp:tfidf__you control owner,0.002
nlp:tfidf__block unless you,0.002
nlp:tfidf__creatur can't attack,0.002
nlp:tfidf__unless you pay,0.002
nlp:tfidf__. & suspend,0.002
nlp:tfidf__life . &,0.002
nlp:tfidf__get +1/+1 each,0.002
nlp:tfidf__you may pay,0.002
nlp:tfidf__whenev player cast,0.002
nlp:tfidf__. begin your,0.002
nlp:tfidf__librari . you,0.002
nlp:tfidf__artifact creatur token,0.002
nlp:tfidf__( anoth player,0.002
nlp:tfidf__artifact creatur land,0.002
other:n_abilities,0.002
nlp:tfidf__creatur equal number,0.002
nlp:tfidf__+1/+1 counter x,0.002
nlp:tfidf__card . you,0.001
nlp:tfidf__enchant creatur get,0.001
nlp:tfidf__control you may,0.001
nlp:tfidf__& equip {3},0.001
nlp:tfidf__creatur your oppon,0.001
nlp:tfidf__{2} less cast,0.001
nlp:tfidf__( creatur enter,0.001
nlp:tfidf__cardnam deal 1,0.001
nlp:tfidf__counter each two,0.001
nlp:tfidf__cardnam can't block,0.001
nlp:tfidf__& begin end,0.001
nlp:tfidf__deal 1 damag,0.001
nlp:tfidf__cardnam enter battlefield,0.001
nlp:tfidf__. you may,0.001
nlp:tfidf__: gain control,0.001
nlp:tfidf__creat two 1/1,0.001
nlp:tfidf__+1/+1 counter target,0.001
nlp:tfidf__cardnam unless you,0.001
nlp:tfidf__put card your,0.001
nlp:tfidf__end turn .,0.001
nlp:tfidf__target spell abil,0.001
nlp:tfidf__+1/+0 . &,0.001
nlp:tfidf__you control get,0.001
nlp:tfidf__cardnam . &,0.001
nlp:tfidf__. & equip,0.001
nlp:tfidf__. & return,0.001
nlp:tfidf__begin next end,0.001
nlp:tfidf__becom target spell,0.001
nlp:tfidf__discard three card,0.001
nlp:tfidf__you gain 2,0.001
nlp:tfidf__) & whenev,0.001
nlp:tfidf__enter battlefield kick,0.001
nlp:tfidf__+1/+1 counter cardnam,0.001
nlp:tfidf__card graveyard .,0.001
nlp:tfidf__deal damag each,0.001
nlp:tfidf__begin your end,0.001
nlp:tfidf__control owner hand,0.001
nlp:tfidf__creatur token you,0.001
nlp:tfidf__flashback cost .,0.001
nlp:tfidf__cardnam : add,0.001
nlp:tfidf__card put onto,0.001
nlp:tfidf__top your librari,0.001
nlp:tfidf__damag equal power,0.001
nlp:tfidf__you may cast,0.001
nlp:tfidf__your graveyard your,0.001
nlp:tfidf__creat 0/0 black,0.001
nlp:tfidf__tap untap target,0.001
nlp:tfidf__cardnam die draw,0.001
nlp:tfidf__card convert mana,0.001
nlp:tfidf__cast creatur spell,0.001
nlp:tfidf__battlefield target player,0.001
nlp:tfidf__. you creat,0.001
nlp:tfidf__. creatur gain,0.001
nlp:tfidf__search your librari,0.001
nlp:tfidf__turn . activ,0.001
nlp:tfidf__your oppon control,0.001
nlp:tfidf__cardnam deal 3,0.001
nlp:tfidf__control . &,0.001
nlp:tfidf__gain hast end,0.001
nlp:tfidf__) & fli,0.001
nlp:tfidf__fli & you,0.001
nlp:tfidf__land card your,0.001
nlp:tfidf__long you control,0.001
nlp:tfidf__creatur gain hast,0.001
nlp:tfidf__destroy target creatur,0.001
nlp:tfidf__token . &,0.001
nlp:tfidf__: you may,0.001
nlp:tfidf__cardnam deal damag,0.001
nlp:tfidf__-1/-1 counter target,0.001
nlp:tfidf__& cardnam block,0.001
nlp:tfidf__: cardnam deal,0.001
nlp:tfidf__target . &,0.001
other:cost_G,0.001
nlp:tfidf__you cast spell,0.001
nlp:tfidf__card x number,0.001
nlp:tfidf__spell turn .,0.001
nlp:tfidf__put +1/+1 counter,0.001
nlp:tfidf__end step you,0.001
nlp:tfidf__battlefield creat 1/1,0.001
nlp:tfidf__you control +1/+1,0.001
nlp:tfidf__creatur . &,0.001
nlp:tfidf__token copi target,0.001
nlp:tfidf__block becom block,0.001
nlp:tfidf__. you lose,0.001
nlp:tfidf__1 life you,0.001
nlp:tfidf__{1} less cast,0.001
nlp:tfidf__graveyard battlefield .,0.001
nlp:tfidf__battlefield your control,0.001
nlp:tfidf__cardnam : deal,0.001
nlp:tfidf__sacrific artifact :,0.001
nlp:tfidf__+2/+0 end turn,0.001
nlp:tfidf__creatur card your,0.001
nlp:tfidf__1 damag ani,0.001
nlp:tfidf__equal number creatur,0.001
nlp:tfidf__you may put,0.001
nlp:tfidf__get +1/+1 .,0.001
nlp:tfidf__. & cardnam,0.001
nlp:tfidf__cardnam untap your,0.001
nlp:tfidf__put your graveyard,0.001
nlp:tfidf__enter battlefield you,0.001
nlp:tfidf__: cardnam gain,0.001
nlp:tfidf__& target creatur,0.001
nlp:tfidf__battlefield sacrific unless,0.001
nlp:tfidf__spell sacrific creatur,0.001
nlp:tfidf__target creatur .,0.001
nlp:tfidf__cost {1} less,0.001
nlp:tfidf__end turn each,0.001
nlp:tfidf__enter battlefield +1/+1,0.001
nlp:tfidf__. & {1},0.001
nlp:tfidf__creatur you control,0.001
nlp:tfidf__( creatur deal,0.001
nlp:tfidf__. target player,0.001
nlp:tfidf__fli first strike,0.001
nlp:tfidf__cast cost {1},0.001
nlp:tfidf__activ abil your,0.001
nlp:tfidf__exil nonland card,0.001
nlp:tfidf__1 life .,0.001
nlp:tfidf__battlefield . &,0.001
nlp:tfidf__your upkeep put,0.001
nlp:tfidf__& exil target,0.001
nlp:tfidf__( begin your,0.001
nlp:tfidf__land you control,0.001
nlp:tfidf__choos color .,0.001
nlp:tfidf__hast . &,0.001
nlp:tfidf__. & you,0.001
nlp:tfidf__( creatur die,0.001
nlp:tfidf__bottom your librari,0.001
nlp:tfidf__& flashback {5},0.001
nlp:tfidf__enter battlefield each,0.001
nlp:tfidf__vigil & cardnam,0.001
nlp:tfidf__you may sacrific,0.001
nlp:tfidf__owner hand .,0.001
nlp:tfidf__may draw card,0.001
nlp:tfidf__hand you may,0.001
nlp:tfidf__control . you,0.001
nlp:tfidf__you may creat,0.001
nlp:tfidf__damag target creatur,0.001
nlp:tfidf__& equip creatur,0.001
nlp:tfidf__creatur your parti,0.001
nlp:tfidf__ani target .,0.001
nlp:tfidf__& sacrific cardnam,0.001
nlp:tfidf__( tap ani,0.001
other:cost_U,0.001
nlp:tfidf__pay mana cost,0.001
nlp:tfidf__power target creatur,0.001
nlp:tfidf__you control .,0.001
nlp:tfidf__& cardnam kick,0.001
nlp:tfidf__creatur get +2/+2,0.001
nlp:tfidf__cost . &,0.001
nlp:tfidf__cardnam deal 2,0.001
nlp:tfidf__return battlefield owner,0.001
nlp:tfidf__counter target creatur,0.001
nlp:tfidf__your graveyard battlefield,0.001
nlp:tfidf__) & you,0.001
nlp:tfidf__5 damag target,0.001
nlp:tfidf__+1/+1 counter .,0.001
nlp:tfidf__equal number card,0.001
nlp:tfidf__creat 1/1 green,0.001
nlp:tfidf__cost each age,0.001
nlp:tfidf__card your librari,0.001
nlp:tfidf__& cardnam leav,0.001
nlp:tfidf__target creatur card,0.001
nlp:tfidf__: put card,0.001
nlp:tfidf__creatur card convert,0.001
nlp:tfidf__damag player you,0.001
nlp:tfidf__hand rather pay,0.001
nlp:tfidf__sacrific creatur :,0.001
nlp:tfidf__3 damag target,0.001
nlp:tfidf__hand . exil,0.001
nlp:tfidf__& begin your,0.001
nlp:tfidf__charg counter cardnam,0.001
other:types_Enchantment,0.001
nlp:tfidf__. player shuffl,0.001
nlp:tfidf__{t} : return,0.001
nlp:tfidf__& cumul upkeep,0.001
nlp:tfidf__you would draw,0.001
nlp:tfidf__: choos target,0.001
nlp:tfidf__& prevent combat,0.001
nlp:tfidf__& you may,0.001
nlp:tfidf__graveyard onto battlefield,0.001
nlp:tfidf__less your graveyard,0.001
nlp:tfidf__return two target,0.001
other:cost_R,0.001
nlp:tfidf__next untap step,0.001
nlp:tfidf__creatur get +5/+5,0.001
other:cost_B,0.001
nlp:tfidf__may pay {r},0.001
nlp:tfidf__may cast card,0.001
nlp:tfidf__cardnam deal combat,0.001
nlp:tfidf__& {1} {g},0.001
nlp:tfidf__cardnam deal x,0.001
nlp:tfidf__. ( they'r,0.001
nlp:tfidf__. & cycl,0.001
nlp:tfidf__creatur . you,0.001
nlp:tfidf__( spell cost,0.001
nlp:tfidf__& whenev cardnam,0.001
nlp:tfidf__& counter target,0.001
nlp:tfidf__target artifact creatur,0.001
nlp:tfidf__& cardnam deal,0.001
nlp:tfidf__activ mana abil,0.001
nlp:tfidf__& [ 8],0.001
nlp:tfidf__: end turn,0.001
nlp:tfidf__control target creatur,0.001
nlp:tfidf__. ( begin,0.001
nlp:tfidf__3 life .,0.001
nlp:tfidf__( your creatur,0.001
nlp:tfidf__strike & whenev,0.001
nlp:tfidf__whenev cardnam deal,0.001
nlp:tfidf__: target creatur,0.001
nlp:tfidf__{r} ( you,0.0
nlp:tfidf__creatur can't block,0.0
nlp:tfidf__2 damag ani,0.0
nlp:tfidf__: cardnam get,0.0
nlp:tfidf__) & cardnam,0.0
nlp:tfidf__& {t} :,0.0
nlp:tfidf__your draw step,0.0
nlp:tfidf__discard card .,0.0
nlp:tfidf__& destroy target,0.0
nlp:tfidf__draw card .,0.0
nlp:tfidf__. & enchant,0.0
nlp:tfidf__creatur {t} :,0.0
nlp:tfidf__& {1} {b},0.0
other:cost_W,0.0
nlp:tfidf__& [ 7],0.0
nlp:tfidf__cost {2} less,0.0
nlp:tfidf__. ) &,0.0
nlp:tfidf__{b} ( you,0.0
nlp:tfidf__turn . (,0.0
nlp:tfidf__number creatur card,0.0
nlp:tfidf__& you control,0.0
nlp:tfidf__convert mana cost,0.0
nlp:tfidf__control get -1/-1,0.0
nlp:tfidf__fli trampl &,0.0
nlp:tfidf__battlefield creat 2/2,0.0
nlp:tfidf__attack unless defend,0.0
nlp:tfidf__battlefield addit +1/+1,0.0
nlp:tfidf__card . player,0.0
nlp:tfidf__get +1/+0 end,0.0
nlp:tfidf__destroy target artifact,0.0
nlp:tfidf__you choos nonland,0.0
nlp:tfidf__. & {u},0.0
nlp:tfidf__enchant creatur die,0.0
nlp:tfidf__( deal damag,0.0
nlp:tfidf__( damag dealt,0.0
nlp:tfidf__creatur . control,0.0
nlp:tfidf__three card .,0.0
nlp:tfidf__each creatur you,0.0
nlp:tfidf__battlefield you cast,0.0
nlp:tfidf__your librari .,0.0
nlp:tfidf__+3/+3 end turn,0.0
nlp:tfidf__battlefield you may,0.0
nlp:tfidf__( your turn,0.0
nlp:tfidf__creatur oppon control,0.0
nlp:tfidf__damag would dealt,0.0
nlp:tfidf__{r} : target,0.0
nlp:tfidf__2 ( creatur,0.0
nlp:tfidf__your graveyard :,0.0
nlp:tfidf__creatur attack block,0.0
nlp:tfidf__( creatur block,0.0
nlp:tfidf__: creatur get,0.0
nlp:tfidf__copi target creatur,0.0
nlp:tfidf__. you draw,0.0
nlp:tfidf__cast spell .,0.0
nlp:tfidf__& cardnam enter,0.0
nlp:tfidf__may exil target,0.0
nlp:tfidf__target oppon librari,0.0
nlp:tfidf__. put card,0.0
nlp:tfidf__& {1} :,0.0
nlp:tfidf__. sacrific creatur,0.0
nlp:tfidf__upkeep cardnam deal,0.0
nlp:tfidf__1/1 white spirit,0.0
nlp:tfidf__1 damag would,0.0
nlp:tfidf__+x/+0 end turn,0.0
nlp:tfidf__untap cardnam .,0.0
nlp:tfidf__creatur . cardnam,0.0
nlp:tfidf__discard two card,0.0
nlp:tfidf__. ( you,0.0
nlp:tfidf__target player draw,0.0
nlp:tfidf__damag player player,0.0
nlp:tfidf__{1} : next,0.0
nlp:tfidf__. & draw,0.0
nlp:tfidf__creatur card reveal,0.0
nlp:tfidf__counter cardnam :,0.0
