feature,weight
nlp:tfidf__. & {4},0.0
nlp:tfidf__. unearth sorceri,0.0
nlp:tfidf__. spell kick,0.0
nlp:tfidf__1/1 white soldier,0.0
nlp:tfidf__{g} ( begin,0.0
nlp:tfidf__& {1} {r},0.0
nlp:tfidf__& whenev land,0.0
nlp:tfidf__. & {w},0.0
nlp:tfidf__& gain control,0.0
nlp:tfidf__card graveyard onto,0.0
nlp:tfidf__& [ 6],0.0
nlp:tfidf__& {1} {t},0.0
nlp:tfidf__& creatur you,0.0
nlp:tfidf__& sacrific creatur,0.0
nlp:tfidf__( ani amount,0.0
nlp:tfidf__ani number target,0.0
nlp:tfidf__& {t} sacrific,0.0
nlp:tfidf__. player put,0.0
nlp:tfidf__& morph {3},0.0
nlp:tfidf__: put target,0.0
nlp:tfidf__& {1} sacrific,0.0
nlp:tfidf__cast spell declar,0.0
nlp:tfidf__cast white spell,0.0
nlp:tfidf__cast turn .,0.0
nlp:tfidf__creatur {3} .,0.0
nlp:tfidf__cast spell evok,0.0
nlp:tfidf__cast spell exil,0.0
nlp:tfidf__creatur cardnam deal,0.0
nlp:tfidf__cast spell you,0.0
nlp:tfidf__cast spell without,0.0
nlp:tfidf__cast spell mutat,0.0
nlp:tfidf__cast spirit arcan,0.0
nlp:tfidf__cast spell overload,0.0
nlp:tfidf__creatur you tap,0.0
nlp:tfidf__cast spell reveal,0.0
nlp:tfidf__creatur : put,0.0
nlp:tfidf__creatur you may,0.0
nlp:tfidf__cast spell target,0.0
nlp:tfidf__cast spell your,0.0
nlp:tfidf__cast spell dash,0.0
nlp:tfidf__cast spell convert,0.0
nlp:tfidf__creatur : target,0.0
nlp:tfidf__cumul upkeep {1},0.0
nlp:tfidf__creatur attach creatur,0.0
nlp:tfidf__creatur anoth unpair,0.0
nlp:tfidf__creatur and/or creatur,0.0
nlp:tfidf__creatur and/or black,0.0
nlp:tfidf__cast each target,0.0
nlp:tfidf__creatur also caus,0.0
nlp:tfidf__cast instant .,0.0
nlp:tfidf__cast instant sorceri,0.0
nlp:tfidf__cast later turn,0.0
nlp:tfidf__damag control among,0.0
nlp:tfidf__cast mad cost,0.0
nlp:tfidf__creatur card put,0.0
nlp:tfidf__cast noncreatur spell,0.0
nlp:tfidf__cast red spell,0.0
nlp:tfidf__cast sorceri .,0.0
nlp:tfidf__damag cardnam turn,0.0
nlp:tfidf__cast spell activ,0.0
nlp:tfidf__damag ani target,0.0
nlp:tfidf__cast spell among,0.0
nlp:tfidf__deal damag perman,0.0
nlp:tfidf__cycl {2} (,0.0
nlp:tfidf__cast spell cardnam,0.0
nlp:tfidf__creatur abl block,0.0
nlp:tfidf__creatur card you,0.0
nlp:tfidf__cycl cardnam you,0.0
nlp:tfidf__cast spell combat,0.0
nlp:tfidf__cast spell copi,0.0
nlp:tfidf__deal damag player,0.0
nlp:tfidf__counter target spell,0.0
nlp:tfidf__creatur you divid,0.0
nlp:tfidf__creatur chosen type,0.0
nlp:tfidf__choos one .,0.0
nlp:tfidf__choos one both,0.0
nlp:tfidf__creatur untap your,0.0
nlp:tfidf__choos oppon .,0.0
nlp:tfidf__choos target creatur,0.0
nlp:tfidf__choos two &,0.0
nlp:tfidf__choos untap cardnam,0.0
nlp:tfidf__citi bless rest,0.0
nlp:tfidf__clash oppon .,0.0
nlp:tfidf__clash player reveal,0.0
nlp:tfidf__cleric rogu warrior,0.0
nlp:tfidf__deal doubl damag,0.0
nlp:tfidf__clue artifact token,0.0
nlp:tfidf__deal excess combat,0.0
nlp:tfidf__creatur combat damag,0.0
nlp:tfidf__coin . you,0.0
nlp:tfidf__creatur . turn,0.0
nlp:tfidf__color . &,0.0
nlp:tfidf__creatur . gain,0.0
nlp:tfidf__color . ),0.0
nlp:tfidf__color . you,0.0
nlp:tfidf__color mana spent,0.0
nlp:tfidf__destroy target nonblack,0.0
nlp:tfidf__creatur control player,0.0
nlp:tfidf__creatur . each,0.0
nlp:tfidf__creatur convert mana,0.0
nlp:tfidf__color your choic,0.0
nlp:tfidf__creatur : add,0.0
nlp:tfidf__choos nonland card,0.0
nlp:tfidf__choos new target,0.0
nlp:tfidf__choic would deal,0.0
nlp:tfidf__creatur : cardnam,0.0
nlp:tfidf__creatur you cast,0.0
nlp:tfidf__caus creatur tap,0.0
nlp:tfidf__caus you discard,0.0
nlp:tfidf__caus you gain,0.0
nlp:tfidf__chang target target,0.0
nlp:tfidf__chang text replac,0.0
nlp:tfidf__changel ( card,0.0
nlp:tfidf__devoid ( card,0.0
nlp:tfidf__creatur you .,0.0
nlp:tfidf__destroy turn .,0.0
nlp:tfidf__choic end turn,0.0
nlp:tfidf__destroy target tap,0.0
nlp:tfidf__choos creatur type,0.0
nlp:tfidf__creatur would destroy,0.0
nlp:tfidf__choos among ani,0.0
nlp:tfidf__choos among one,0.0
nlp:tfidf__creatur would deal,0.0
nlp:tfidf__choos ani number,0.0
nlp:tfidf__choos both you,0.0
nlp:tfidf__creatur without fli,0.0
nlp:tfidf__choos card name,0.0
nlp:tfidf__creatur without flank,0.0
nlp:tfidf__creatur without first,0.0
nlp:tfidf__choos creatur least,0.0
nlp:tfidf__creatur color .,0.0
nlp:tfidf__caus control gain,0.0
nlp:tfidf__damag creatur form,0.0
nlp:tfidf__creatur card graveyard,0.0
nlp:tfidf__creatur card among,0.0
nlp:tfidf__cardnam die return,0.0
nlp:tfidf__cardnam die target,0.0
nlp:tfidf__cardnam die you,0.0
nlp:tfidf__damag you .,0.0
nlp:tfidf__creatur becom block,0.0
nlp:tfidf__cardnam enchant cardnam,0.0
nlp:tfidf__damag turn creatur,0.0
nlp:tfidf__damag target player,0.0
nlp:tfidf__damag target oppon,0.0
nlp:tfidf__cardnam becom target,0.0
nlp:tfidf__creatur base power,0.0
nlp:tfidf__cardnam face .,0.0
nlp:tfidf__cardnam fli long,0.0
nlp:tfidf__cardnam gain deathtouch,0.0
nlp:tfidf__damag remov combat,0.0
nlp:tfidf__damag prevent way,0.0
nlp:tfidf__cardnam gain first,0.0
nlp:tfidf__cardnam gain fli,0.0
nlp:tfidf__creatur band you,0.0
nlp:tfidf__creatur band one,0.0
nlp:tfidf__cardnam gain indestruct,0.0
nlp:tfidf__cardnam get +0/+1,0.0
nlp:tfidf__creatur attack {t},0.0
nlp:tfidf__cardnam get +1/+1,0.0
nlp:tfidf__cardnam get +1/-1,0.0
nlp:tfidf__cardnam get +2/+0,0.0
nlp:tfidf__cardnam get +2/+2,0.0
nlp:tfidf__deathtouch & cardnam,0.0
nlp:tfidf__damag you gain,0.0
nlp:tfidf__cardnam die put,0.0
nlp:tfidf__creatur block beyond,0.0
nlp:tfidf__cardnam block addit,0.0
nlp:tfidf__cardnam block becom,0.0
nlp:tfidf__cardnam block creatur,0.0
nlp:tfidf__die each oppon,0.0
nlp:tfidf__deal combat damag,0.0
nlp:tfidf__deal both first-strike,0.0
nlp:tfidf__cardnam creatur .,0.0
nlp:tfidf__deal creatur enough,0.0
nlp:tfidf__creatur block cardnam,0.0
nlp:tfidf__deal damag ani,0.0
nlp:tfidf__cardnam deal 4,0.0
nlp:tfidf__creatur block block,0.0
nlp:tfidf__deal damag creatur,0.0
nlp:tfidf__cardnam die exil,0.0
nlp:tfidf__deal 3 damag,0.0
nlp:tfidf__deal 2 damag,0.0
nlp:tfidf__die creat 1/1,0.0
nlp:tfidf__cardnam deal much,0.0
nlp:tfidf__creatur block becom,0.0
nlp:tfidf__dash cost .,0.0
nlp:tfidf__creatur becom target,0.0
nlp:tfidf__cardnam dealt damag,0.0
nlp:tfidf__cardnam die creat,0.0
nlp:tfidf__cardnam die deal,0.0
nlp:tfidf__damag you turn,0.0
nlp:tfidf__cardnam die each,0.0
nlp:tfidf__die -1/-1 counter,0.0
nlp:tfidf__cardnam get +3/+0,0.0
nlp:tfidf__damag player renown,0.0
nlp:tfidf__cast card bestow,0.0
nlp:tfidf__cast ani time,0.0
nlp:tfidf__creatur card .,0.0
nlp:tfidf__cast anoth spell,0.0
nlp:tfidf__damag oppon you,0.0
nlp:tfidf__deathtouch ( ani,0.0
nlp:tfidf__damag equal number,0.0
nlp:tfidf__deal damag oppon,0.0
nlp:tfidf__damag effect say,0.0
nlp:tfidf__cast arcan spell,0.0
nlp:tfidf__cast artifact spell,0.0
nlp:tfidf__cast black spell,0.0
nlp:tfidf__damag each oppon,0.0
nlp:tfidf__cast card exil,0.0
nlp:tfidf__cast . &,0.0
nlp:tfidf__cast card face,0.0
nlp:tfidf__cast card without,0.0
nlp:tfidf__creatur attack turn,0.0
nlp:tfidf__damag each creatur,0.0
nlp:tfidf__cast cardnam though,0.0
nlp:tfidf__damag divid you,0.0
nlp:tfidf__damag dealt creatur,0.0
nlp:tfidf__damag deal creatur,0.0
nlp:tfidf__creatur attack put,0.0
nlp:tfidf__damag creatur without,0.0
nlp:tfidf__colorless eldrazi scion,0.0
nlp:tfidf__creatur attack each,0.0
nlp:tfidf__cast . card,0.0
nlp:tfidf__cascad ( you,0.0
nlp:tfidf__damag player put,0.0
nlp:tfidf__cardnam power equal,0.0
nlp:tfidf__damag player planeswalk,0.0
nlp:tfidf__damag player equal,0.0
nlp:tfidf__damag player draw,0.0
nlp:tfidf__cardnam get +3/+3,0.0
nlp:tfidf__cardnam get +x/+0,0.0
nlp:tfidf__deal damag equal,0.0
nlp:tfidf__cardnam kick enter,0.0
nlp:tfidf__cardnam least two,0.0
nlp:tfidf__cardnam leav battlefield,0.0
nlp:tfidf__die +1/+1 counter,0.0
nlp:tfidf__cardnam owner hand,0.0
nlp:tfidf__cardnam pair anoth,0.0
nlp:tfidf__damag player creat,0.0
nlp:tfidf__cardnam your untap,0.0
nlp:tfidf__cardnam put +1/+1,0.0
nlp:tfidf__cardnam put graveyard,0.0
nlp:tfidf__creatur attack you,0.0
nlp:tfidf__cardnam though flash,0.0
nlp:tfidf__damag player control,0.0
nlp:tfidf__cardnam turn die,0.0
nlp:tfidf__cardnam turn face,0.0
nlp:tfidf__creatur can't target,0.0
nlp:tfidf__damag perman player,0.0
nlp:tfidf__cardnam you may,0.0
nlp:tfidf__cardnam your graveyard,0.0
nlp:tfidf__cardnam your hand,0.0
nlp:tfidf__colorless clue artifact,0.0
nlp:tfidf__combat damag control,0.0
nlp:tfidf__colorless servo artifact,0.0
nlp:tfidf__colorless thopter artifact,0.0
nlp:tfidf__cost . hast,0.0
nlp:tfidf__cost . put,0.0
nlp:tfidf__destroy creatur .,0.0
nlp:tfidf__cost 2 less,0.0
nlp:tfidf__destroy . ),0.0
nlp:tfidf__creatur get -2/-2,0.0
nlp:tfidf__cost 3 less,0.0
nlp:tfidf__cost 4 less,0.0
nlp:tfidf__cost aura spell,0.0
nlp:tfidf__defend & cardnam,0.0
nlp:tfidf__creatur get -2/-0,0.0
nlp:tfidf__cost creatur card,0.0
nlp:tfidf__creatur die turn,0.0
nlp:tfidf__cost less .,0.0
nlp:tfidf__creat three 1/1,0.0
nlp:tfidf__delv ( each,0.0
nlp:tfidf__cost perman you,0.0
nlp:tfidf__cost put +1/+1,0.0
nlp:tfidf__cost put target,0.0
nlp:tfidf__creatur die you,0.0
nlp:tfidf__creat four 1/1,0.0
nlp:tfidf__cost put your,0.0
nlp:tfidf__creatur each creatur,0.0
nlp:tfidf__cost x less,0.0
nlp:tfidf__cost you cast,0.0
nlp:tfidf__creatur get +x/+x,0.0
nlp:tfidf__creatur get +x/+0,0.0
nlp:tfidf__creatur get -3/-3,0.0
nlp:tfidf__destroy creatur end,0.0
nlp:tfidf__creatur get -x/-x,0.0
nlp:tfidf__copi ani creatur,0.0
nlp:tfidf__creatur player control,0.0
nlp:tfidf__creatur planeswalk .,0.0
nlp:tfidf__control ten perman,0.0
nlp:tfidf__creatur & begin,0.0
nlp:tfidf__control untap step,0.0
nlp:tfidf__control would deal,0.0
nlp:tfidf__control you gain,0.0
nlp:tfidf__creatur monstrous put,0.0
nlp:tfidf__creat x 1/1,0.0
nlp:tfidf__creatur least tough,0.0
nlp:tfidf__convok ( your,0.0
nlp:tfidf__copi . &,0.0
nlp:tfidf__copi attack oppon,0.0
nlp:tfidf__creatur greater power,0.0
nlp:tfidf__copi creatur token,0.0
nlp:tfidf__copi each spell,0.0
nlp:tfidf__copi each time,0.0
nlp:tfidf__copi spell .,0.0
nlp:tfidf__creatur land card,0.0
nlp:tfidf__creat two 2/2,0.0
nlp:tfidf__copi target instant,0.0
nlp:tfidf__creat treasur token,0.0
nlp:tfidf__creatur land .,0.0
nlp:tfidf__creatur help cast,0.0
nlp:tfidf__cost . exil,0.0
nlp:tfidf__creatur hast .,0.0
nlp:tfidf__defend player lose,0.0
nlp:tfidf__creat colorless clue,0.0
nlp:tfidf__could cast instant,0.0
nlp:tfidf__counter perman sacrific,0.0
nlp:tfidf__creatur gain trampl,0.0
nlp:tfidf__creatur gain fli,0.0
nlp:tfidf__counter creatur put,0.0
nlp:tfidf__counter creatur you,0.0
nlp:tfidf__counter each color,0.0
nlp:tfidf__counter each creatur,0.0
nlp:tfidf__counter each kind,0.0
nlp:tfidf__creat 1/1 colorless,0.0
nlp:tfidf__creat 1/1 blue,0.0
nlp:tfidf__creatur gain first,0.0
nlp:tfidf__counter one target,0.0
nlp:tfidf__creatur form -1/-1,0.0
nlp:tfidf__counter player form,0.0
nlp:tfidf__creatur either enter,0.0
nlp:tfidf__counter return battlefield,0.0
nlp:tfidf__counter target artifact,0.0
nlp:tfidf__creat 1/1 black,0.0
nlp:tfidf__creatur fli reach,0.0
nlp:tfidf__creatur fli .,0.0
nlp:tfidf__creatur first strike,0.0
nlp:tfidf__creatur enough destroy,0.0
nlp:tfidf__counter target instant,0.0
nlp:tfidf__counter target land,0.0
nlp:tfidf__counter target noncreatur,0.0
nlp:tfidf__counter way exil,0.0
nlp:tfidf__creatur enter battlefield,0.0
nlp:tfidf__dealt turn .,0.0
nlp:tfidf__counter creatur .,0.0
nlp:tfidf__could cast sorceri,0.0
nlp:tfidf__creat 2/2 green,0.0
nlp:tfidf__creat 4/4 white,0.0
nlp:tfidf__count toward your,0.0
nlp:tfidf__counter ) .,0.0
nlp:tfidf__creatur get +4/+4,0.0
nlp:tfidf__creat 2/2 white,0.0
nlp:tfidf__creatur each get,0.0
nlp:tfidf__counter . (,0.0
nlp:tfidf__creatur get +3/+1,0.0
nlp:tfidf__creatur get +3/+0,0.0
nlp:tfidf__creatur each player,0.0
nlp:tfidf__counter . begin,0.0
nlp:tfidf__defend player control,0.0
nlp:tfidf__counter . last,0.0
nlp:tfidf__counter cardnam sacrific,0.0
nlp:tfidf__counter . level,0.0
nlp:tfidf__counter . sacrific,0.0
nlp:tfidf__counter . you,0.0
nlp:tfidf__creat 2/2 black,0.0
nlp:tfidf__counter anoth target,0.0
nlp:tfidf__counter armi you,0.0
nlp:tfidf__counter becom monstrous,0.0
nlp:tfidf__creatur get +2/+1,0.0
nlp:tfidf__counter becom renown,0.0
nlp:tfidf__creatur get +2/+0,0.0
nlp:tfidf__creatur get +1/+2,0.0
nlp:tfidf__creat 1/1 red,0.0
nlp:tfidf__control target artifact,0.0
nlp:tfidf__creatur & cardnam,0.0
nlp:tfidf__control swamp .,0.0
nlp:tfidf__control attack alon,0.0
nlp:tfidf__creatur token first,0.0
nlp:tfidf__destroy target land,0.0
nlp:tfidf__control . equip,0.0
nlp:tfidf__control . player,0.0
nlp:tfidf__creatur deal combat,0.0
nlp:tfidf__dealt creatur also,0.0
nlp:tfidf__creatur . becom,0.0
nlp:tfidf__creatur . activ,0.0
nlp:tfidf__control : cardnam,0.0
nlp:tfidf__destroy target enchant,0.0
nlp:tfidf__creatur deal damag,0.0
nlp:tfidf__control among ani,0.0
nlp:tfidf__control becom 0/0,0.0
nlp:tfidf__dealt ani target,0.0
nlp:tfidf__control begin next,0.0
nlp:tfidf__control block block,0.0
nlp:tfidf__dealt damag deal,0.0
nlp:tfidf__control both .,0.0
nlp:tfidf__control can't block,0.0
nlp:tfidf__creatur token creatur,0.0
nlp:tfidf__creatur token attach,0.0
nlp:tfidf__creatur deal excess,0.0
nlp:tfidf__dealt damag enchant,0.0
nlp:tfidf__dealt damag turn,0.0
nlp:tfidf__control cardnam deal,0.0
nlp:tfidf__creatur +1/+1 counter,0.0
nlp:tfidf__dealt combat damag,0.0
nlp:tfidf__creatur token hast,0.0
nlp:tfidf__dealt damag way,0.0
nlp:tfidf__deal x damag,0.0
nlp:tfidf__combat . &,0.0
nlp:tfidf__deal much damag,0.0
nlp:tfidf__combat abl .,0.0
nlp:tfidf__counter target perman,0.0
nlp:tfidf__creatur type .,0.0
nlp:tfidf__combat damag creatur,0.0
nlp:tfidf__creatur turn .,0.0
nlp:tfidf__combat damag player,0.0
nlp:tfidf__combat damag would,0.0
nlp:tfidf__creatur top plus,0.0
nlp:tfidf__combat damag you,0.0
nlp:tfidf__combat your turn,0.0
nlp:tfidf__come your control,0.0
nlp:tfidf__control . creatur,0.0
nlp:tfidf__command both partner,0.0
nlp:tfidf__consist one each,0.0
nlp:tfidf__constel whenev cardnam,0.0
nlp:tfidf__creatur token x,0.0
nlp:tfidf__construct artifact creatur,0.0
nlp:tfidf__control & cardnam,0.0
nlp:tfidf__creatur deal 1,0.0
nlp:tfidf__control +1/+1 counter,0.0
nlp:tfidf__control -1/-1 counter,0.0
nlp:tfidf__creatur token vigil,0.0
nlp:tfidf__control . (,0.0
nlp:tfidf__control . ),0.0
nlp:tfidf__control cardnam get,0.0
nlp:tfidf__creatur target player,0.0
nlp:tfidf__dealt target creatur,0.0
nlp:tfidf__control next untap,0.0
nlp:tfidf__control get +2/+1,0.0
nlp:tfidf__creatur die creat,0.0
nlp:tfidf__control get +2/+2,0.0
nlp:tfidf__creatur shadow .,0.0
nlp:tfidf__creatur put card,0.0
nlp:tfidf__control hand :,0.0
nlp:tfidf__destroy target attack,0.0
nlp:tfidf__creatur die return,0.0
nlp:tfidf__creatur put +1/+1,0.0
nlp:tfidf__control island .,0.0
nlp:tfidf__control left battlefield,0.0
nlp:tfidf__control lose 2,0.0
nlp:tfidf__control one creat,0.0
nlp:tfidf__control get +1/+1,0.0
nlp:tfidf__creatur power tough,0.0
nlp:tfidf__control pay {1},0.0
nlp:tfidf__control pay {2},0.0
nlp:tfidf__control put +1/+1,0.0
nlp:tfidf__control return card,0.0
nlp:tfidf__creatur power less,0.0
nlp:tfidf__declar attack step,0.0
nlp:tfidf__creatur power 5,0.0
nlp:tfidf__creatur power 4,0.0
nlp:tfidf__creatur power 3,0.0
nlp:tfidf__control sinc begin,0.0
nlp:tfidf__creatur power 2,0.0
nlp:tfidf__control get +2/+0,0.0
nlp:tfidf__control get +1/+0,0.0
nlp:tfidf__control cardnam leav,0.0
nlp:tfidf__creatur tap .,0.0
nlp:tfidf__control chosen type,0.0
nlp:tfidf__control count toward,0.0
nlp:tfidf__control creat 1/1,0.0
nlp:tfidf__control creatur power,0.0
nlp:tfidf__control creatur you,0.0
nlp:tfidf__control deal combat,0.0
nlp:tfidf__creatur dealt damag,0.0
nlp:tfidf__control deal damag,0.0
nlp:tfidf__control die you,0.0
nlp:tfidf__creatur target oppon,0.0
nlp:tfidf__control enchant creatur,0.0
nlp:tfidf__control end turn,0.0
nlp:tfidf__control gain fli,0.0
nlp:tfidf__creatur die -1/-1,0.0
nlp:tfidf__control gain indestruct,0.0
nlp:tfidf__dealt damag you,0.0
nlp:tfidf__control gain much,0.0
nlp:tfidf__control gain protect,0.0
nlp:tfidf__control gain trampl,0.0
nlp:tfidf__creatur defend player,0.0
nlp:tfidf__creatur spell you,0.0
nlp:tfidf__control get +0/+1,0.0
nlp:tfidf__creatur spell .,0.0
nlp:tfidf__creatur destroy creatur,0.0
nlp:tfidf__creatur die +1/+1,0.0
nlp:tfidf__creatur share color,0.0
nlp:tfidf__creatur block creatur,0.0
nlp:tfidf__battlefield owner hand,0.0
nlp:tfidf__cardnam becom tap,0.0
nlp:tfidf__1 life each,0.0
nlp:tfidf__. untap control,0.0
nlp:tfidf__. turn face,0.0
nlp:tfidf__. target oppon,0.0
nlp:tfidf__. target creatur,0.0
nlp:tfidf__. still land,0.0
nlp:tfidf__. spend mana,0.0
nlp:tfidf__. spell counter,0.0
nlp:tfidf__. sacrific iii,0.0
nlp:tfidf__. sacrific begin,0.0
nlp:tfidf__. reveal card,0.0
nlp:tfidf__. return card,0.0
nlp:tfidf__. remain pair,0.0
nlp:tfidf__. put two,0.0
nlp:tfidf__. put one,0.0
nlp:tfidf__. put exil,0.0
nlp:tfidf__. put +1/+1,0.0
nlp:tfidf__. player win,0.0
nlp:tfidf__. player may,0.0
nlp:tfidf__. otherwis put,0.0
nlp:tfidf__. untap creatur,0.0
nlp:tfidf__. whenev creatur,0.0
nlp:tfidf__. you add,0.0
nlp:tfidf__. you search,0.0
nlp:tfidf__1 damag target,0.0
nlp:tfidf__1 damag each,0.0
nlp:tfidf__1 ( whenev,0.0
nlp:tfidf__0/0 element creatur,0.0
nlp:tfidf__0/0 black zombi,0.0
nlp:tfidf__. you win,0.0
nlp:tfidf__. you target,0.0
nlp:tfidf__. you shuffl,0.0
nlp:tfidf__. you sacrif,0.0
nlp:tfidf__. you can't,0.0
nlp:tfidf__. you put,0.0
nlp:tfidf__. you get,0.0
nlp:tfidf__. you each,0.0
nlp:tfidf__. you discard,0.0
nlp:tfidf__. you destroy,0.0
nlp:tfidf__. you copi,0.0
nlp:tfidf__. you chang,0.0
nlp:tfidf__. you cardnam,0.0
nlp:tfidf__. mutat creatur,0.0
nlp:tfidf__. level sorceri,0.0
nlp:tfidf__. last remov,0.0
nlp:tfidf__. ( mana,0.0
nlp:tfidf__. ( {q},0.0
nlp:tfidf__. ( {c},0.0
nlp:tfidf__. ( whenev,0.0
nlp:tfidf__. ( scri,0.0
nlp:tfidf__. ( reveal,0.0
nlp:tfidf__. ( put,0.0
nlp:tfidf__. ( phase,0.0
nlp:tfidf__. ( next,0.0
nlp:tfidf__. ( look,0.0
nlp:tfidf__. activ sorceri,0.0
nlp:tfidf__. ( exert,0.0
nlp:tfidf__. ( effect,0.0
nlp:tfidf__. ( each,0.0
nlp:tfidf__. ( deal,0.0
nlp:tfidf__. ( damag,0.0
nlp:tfidf__. ( creatur,0.0
nlp:tfidf__. ( creat,0.0
nlp:tfidf__. ( choos,0.0
nlp:tfidf__. ( {s},0.0
nlp:tfidf__. ani creatur,0.0
nlp:tfidf__. land card,0.0
nlp:tfidf__. creatur you,0.0
nlp:tfidf__. instead tap,0.0
nlp:tfidf__. gain hast,0.0
nlp:tfidf__. exil token,0.0
nlp:tfidf__. exil card,0.0
nlp:tfidf__. equip sorceri,0.0
nlp:tfidf__. end turn,0.0
nlp:tfidf__. each artifact,0.0
nlp:tfidf__. draw card,0.0
nlp:tfidf__. creatur enter,0.0
nlp:tfidf__. ani player,0.0
nlp:tfidf__. creatur die,0.0
nlp:tfidf__. creatur dealt,0.0
nlp:tfidf__. creatur can't,0.0
nlp:tfidf__. creat 1/1,0.0
nlp:tfidf__. control lose,0.0
nlp:tfidf__. cast later,0.0
nlp:tfidf__. becom creatur,0.0
nlp:tfidf__. band block,0.0
nlp:tfidf__1 life :,0.0
nlp:tfidf__1/1 colorless eldrazi,0.0
nlp:tfidf__abil can't activ,0.0
nlp:tfidf__1/1 colorless servo,0.0
nlp:tfidf__: regener cardnam,0.0
nlp:tfidf__: put x,0.0
nlp:tfidf__: put two,0.0
nlp:tfidf__: put level,0.0
nlp:tfidf__: put charg,0.0
nlp:tfidf__: put -1/-1,0.0
nlp:tfidf__: prevent next,0.0
nlp:tfidf__: prevent damag,0.0
nlp:tfidf__: prevent combat,0.0
nlp:tfidf__: exil top,0.0
nlp:tfidf__: exil cardnam,0.0
nlp:tfidf__: enchant creatur,0.0
nlp:tfidf__: each player,0.0
nlp:tfidf__: each oppon,0.0
nlp:tfidf__: draw two,0.0
nlp:tfidf__: deal 2,0.0
nlp:tfidf__: deal 1,0.0
nlp:tfidf__: creatur you,0.0
nlp:tfidf__: creatur deal,0.0
nlp:tfidf__: regener target,0.0
nlp:tfidf__: return card,0.0
nlp:tfidf__: return cardnam,0.0
nlp:tfidf__[ 1] :,0.0
nlp:tfidf__abil . &,0.0
nlp:tfidf__[+1] : creat,0.0
nlp:tfidf__[ 9] :,0.0
nlp:tfidf__[ 8] :,0.0
nlp:tfidf__[ 7] :,0.0
nlp:tfidf__[ 6] :,0.0
nlp:tfidf__[ 3] :,0.0
nlp:tfidf__[ 2] :,0.0
nlp:tfidf__[ 10] :,0.0
nlp:tfidf__: reveal top,0.0
nlp:tfidf__: your next,0.0
nlp:tfidf__: you gain,0.0
nlp:tfidf__: vehicl becom,0.0
nlp:tfidf__: untap target,0.0
nlp:tfidf__: untap cardnam,0.0
nlp:tfidf__: target land,0.0
nlp:tfidf__: target attack,0.0
nlp:tfidf__: scri 1,0.0
nlp:tfidf__: creat two,0.0
nlp:tfidf__: creat token,0.0
nlp:tfidf__: creat 3/3,0.0
nlp:tfidf__2 less can't,0.0
nlp:tfidf__3 . (,0.0
nlp:tfidf__3 ( creatur,0.0
nlp:tfidf__2/2 creatur {3},0.0
nlp:tfidf__2/2 creatur .,0.0
nlp:tfidf__2 life you,0.0
nlp:tfidf__2 life :,0.0
nlp:tfidf__2 life .,0.0
nlp:tfidf__2 less your,0.0
nlp:tfidf__2 less .,0.0
nlp:tfidf__3 damag each,0.0
nlp:tfidf__2 damag would,0.0
nlp:tfidf__2 damag each,0.0
nlp:tfidf__2 . (,0.0
nlp:tfidf__2 ( whenev,0.0
nlp:tfidf__1/1 white human,0.0
nlp:tfidf__1/1 green insect,0.0
nlp:tfidf__1/1 green elf,0.0
nlp:tfidf__1/1 colorless thopter,0.0
nlp:tfidf__3 damag ani,0.0
nlp:tfidf__3 damag would,0.0
nlp:tfidf__: creat 2/2,0.0
nlp:tfidf__: add {u},0.0
nlp:tfidf__: creat 1/1,0.0
nlp:tfidf__: choos one,0.0
nlp:tfidf__: cardnam lose,0.0
nlp:tfidf__: cardnam can't,0.0
nlp:tfidf__: cardnam becom,0.0
nlp:tfidf__: attach target,0.0
nlp:tfidf__: anoth target,0.0
nlp:tfidf__: add {w},0.0
nlp:tfidf__: add {r},0.0
nlp:tfidf__3/3 green beast,0.0
nlp:tfidf__: add {b},0.0
nlp:tfidf__: add two,0.0
nlp:tfidf__7] : you,0.0
nlp:tfidf__5 life .,0.0
nlp:tfidf__4/4 white angel,0.0
nlp:tfidf__4 life .,0.0
nlp:tfidf__4 damag target,0.0
nlp:tfidf__4 damag each,0.0
nlp:tfidf__. ( can't,0.0
nlp:tfidf__. ( block,0.0
nlp:tfidf__. ( attack,0.0
nlp:tfidf__. ( ani,0.0
nlp:tfidf__( creat colorless,0.0
nlp:tfidf__( choos both,0.0
nlp:tfidf__( card everi,0.0
nlp:tfidf__( card color,0.0
nlp:tfidf__( can't target,0.0
nlp:tfidf__( block creatur,0.0
nlp:tfidf__( attack caus,0.0
nlp:tfidf__( artifact legendari,0.0
nlp:tfidf__( ani creatur,0.0
nlp:tfidf__( activ abil,0.0
nlp:tfidf__& {w} {w},0.0
nlp:tfidf__& {u} :,0.0
nlp:tfidf__& {r} {t},0.0
nlp:tfidf__& {r} :,0.0
nlp:tfidf__& {g} :,0.0
nlp:tfidf__& {b} {b},0.0
nlp:tfidf__& {b} :,0.0
nlp:tfidf__& {4} {t},0.0
nlp:tfidf__& {3} {w},0.0
nlp:tfidf__( creatur attack,0.0
nlp:tfidf__( creatur monstrous,0.0
nlp:tfidf__( damag effect,0.0
nlp:tfidf__( next time,0.0
nlp:tfidf__( you two,0.0
nlp:tfidf__( you control,0.0
nlp:tfidf__( you can't,0.0
nlp:tfidf__( whenev you,0.0
nlp:tfidf__( saga enter,0.0
nlp:tfidf__( reveal top,0.0
